IdEjemplar,Fuente,AnioColecta,Altitud,Estado,Municipio,Localidad,Taxa,AnioDeterminacion,Fuente de georreferencia,LatitudGrados,LatitudMinutos,LatitudSegundos,LongitudGrados,LongitudMinutos,LongitudSegundos,Habitat,Habitat
1,JE014,1978,1960,MÉXICO,TEMASCALTEPEC,"7 km de Temascaltepec, rumbo a Tejupilco","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,1,29.00,-100,2,41,Silvestre,Silvestre
2,JE014,1978,1800,MÉXICO,LUVIANOS,Cañadas de Nanchititla,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.8.3036, enero 2017",18,51,46.00,-100,27,28,Silvestre,Silvestre
3,JE014,1978,1350,SAN LUIS POTOSÍ,XILITLA,"Puerto de Potrerillo, 4 km al N de los límites de San Luis Potosí-Querétaro","Phaseolus glabellus - Piper, 1926",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",21,18,17.16,-99,3,38.11,Silvestre,Silvestre
4,JE014,1978,9999,NUEVO LEÓN,SANTIAGO,"Parque Nacional Cumbre de Monterrey, a 11 km al W de Villa de Santiago, camino a la Cola de Caballo","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",25,21,53.41,-100,9,48.55,Silvestre,Silvestre
5,JE014,1978,1790,DURANGO,NOMBRE DE DIOS,"47 km de la frontera con Zacatecas, Puente Nombre de Dios","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",23,51,14.25,-104,15,6.92,Silvestre,Silvestre
6,JE014,1978,1790,DURANGO,NOMBRE DE DIOS,"Puente de Nombre de Dios, 47 km de la frontera con Zacatecas","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",23,51,14.25,-104,15,6.92,Silvestre,Silvestre
7,JE014,1978,2070,DURANGO,DURANGO,13 km al W de la ciudad de Durango,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",24,0,16.16,-104,48,29.01,Silvestre,Silvestre
8,JE014,1978,2650,DURANGO,PUEBLO NUEVO,"La Ciudad, Puerto Buenos Aires a 8 km de La Ciudad y a 53 km al W de El Salto","Phaseolus parvulus - Greene, 1881",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",23,42,47.82,-105,43,9.01,Ladera húmeda dentro del bosque. Silvestre,Silvestre
9,JE014,1979,1750,GUERRERO,CHILPANCINGO DE LOS BRAVO,"9 km al SE de Chilpancingo, rumbo a Tixtla","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,33,16.25,-99,26,51.97,Escapado,Escapado
10,JE014,1979,2060,HIDALGO,ZIMAPÁN,"2 km al NE de Trancas Morelos y a 13 km al NE de Zimapán, rumbo a Jacala","Phaseolus zimapanensis - A. Delgado, 2000",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,48,15.28,-99,15,41.82,Perturbado con cultivo de maíz. Silvestre,Silvestre
11,JE014,1979,1800,HIDALGO,ZIMAPÁN,"33 km al NE de Zimapan, La Placita a 10 km SW de Jacala","Phaseolus zimapanensis - A. Delgado, 2000",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,52,41.30,-99,14,56.02,Silvestre,Silvestre
12,JE014,1979,2000,HIDALGO,ZIMAPÁN,"10 km al SE de Zimapán, rumbo a Ixmiquilpan","Phaseolus zimapanensis - A. Delgado, 2000",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,39,5.50,-99,19,45.88,Silvestre,Silvestre
13,JE014,1982,1230,JALISCO,AMECA,"16 km al E de Ameca, carretera Tala-Ameca, San Antonio Matute","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,32,58.44,-103,53,59.16,Silvestre,Silvestre
14,JE014,1982,1520,JALISCO,AMECA,"27 km al W de Ameca, carretera a Talpa de Allende","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,31,59.38,-104,15,33.48,Silvestre,Silvestre
15,JE014,1982,1680,JALISCO,MIXTLÁN,"47 km al W de Ameca, rumbo a Talpa","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,27,48.41,-104,23,11.78,Silvestre,Silvestre
16,JE014,1982,9999,JALISCO,MIXTLÁN,"54 km al W de Ameca, carretera a Talpa","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,26,11.64,-104,26,46.74,Silvestre,Silvestre
17,JE014,1982,9999,JALISCO,TALPA DE ALLENDE,15 km al S de Talpa,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,15,20.46,-104,47,2.56,Silvestre,Silvestre
18,JE014,1982,9999,JALISCO,TALPA DE ALLENDE,Talpa de Allende,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,22,40.66,-104,48,30.31,Silvestre,Silvestre
19,JE014,2015,1936,JALISCO,TALPA DE ALLENDE,"Zona N del Campus Chamilpa de la UAEM, subiendo 450 m por el camino de terracería ubicado en la parte E del Instituto de Biotecnología de la UAEM, o 550 m al NE de la Torre Universitaria","Phaseolus leptostachyus - Benth., 1837",2017,"SIG Google Earth 7.1.2.2041, mayo 2015",20,24,42.58,-104,48,10.77,Silvestre,Silvestre
20,JE014,1982,1530,JALISCO,TALPA DE ALLENDE,4 km al NE de Talpa,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,24,42.58,-104,48,10.77,Silvestre,Silvestre
21,JE014,1982,1530,JALISCO,TALPA DE ALLENDE,4 km al NE de Talpa,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,24,42.58,-104,48,10.77,"Silvestre
",Silvestre
22,JE014,1982,1535,JALISCO,MASCOTA,20 km al NE de Mascota,"Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,33,1.06,-104,41,40.93,Escapado,Escapado
23,JE014,1982,1535,JALISCO,MASCOTA,20 km al NE de Mascota,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,33,1.06,-104,41,40.93,Silvestre,Silvestre
24,JE014,1982,1535,JALISCO,MASCOTA,20 km al NE de Mascota,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,33,1.06,-104,41,40.93,Silvestre,Silvestre
25,JE014,1982,1850,JALISCO,ATENGUILLO,"12 km al NW de Los Volcanes, Sierra de la Campana, carretera Los Volcanes-Talpa","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,23,1.99,-104,36,14.35,Silvestre,Silvestre
26,JE014,1985,1820,OAXACA,SAN MARCOS ARTEAGA,"10.5 km de San Marcos Arteaga, carretera a Juxtlahuaca","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,43,40.33,-97,54,46.72,Silvestre,Silvestre
27,JE014,1985,1650,OAXACA,SANTIAGO JUXTLAHUACA,"1.7 km al SE de la desviación a Tlaxiaco, rumbo a Putla","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,8,46.16,-97,53,6.34,Cultivado,Cultivado
28,JE014,1985,1650,OAXACA,SANTIAGO JUXTLAHUACA,"1.7 km al SE de la desviación a Tlaxiaco, rumbo a Putla","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,8,46.16,-97,53,6.34,Silvestre,Silvestre
29,JE014,1986,500,TAMAULIPAS,VICTORIA,"10 km del camino del Ejido Vicente Guerrero, hacia El Molino","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",23,45,30.59,-99,18,16.58,Silvestre,Silvestre
30,JE014,1985,1170,OAXACA,PUTLA VILLA DE GUERRERO,"11.5 km al NE de San Pedro Siniyuvi, rumbo a Yosostato","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,5,46.47,-97,51,7.35,Silvestre,Silvestre
31,JE014,1985,1170,OAXACA,PUTLA VILLA DE GUERRERO,"11.5 km al NE de San Pedro Siniyuvi, rumbo a Yosostato","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,5,46.47,-97,51,7.35,Silvestre,Silvestre
32,JE014,1988,1510,PUEBLA,XOCHITLÁN DE VICENTE SUÁREZ,5 km al E de Huahuaxtla,"Phaseolus glabellus - Piper, 1926",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,55,26.72,-97,36,42.7,Al lado de la milpa. Silvestre,Silvestre
33,JE014,1988,1554,PUEBLA,ZACAPOAXTLA,Zacapoaxtla,"Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,52,25.91,-97,35,4.46,Cultivado,Cultivado
34,JE014,1993,0,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RÍO,Boca del Río,"Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,7,58.00,-96,6,10,Silvestre,Silvestre
35,JE014,1995,2000,JALISCO,TAPALPA,"2 km al NW de Tapalpa, rumbo a Chiquilistlán","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,50.23,-103,46,2.15,"En cañada con riachuelo, sobre cerca. Silvestre",Silvestre
36,JE014,1995,1660,JALISCO,CHIQUILISTLÁN,Pueblo Chiquilistlán,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,4,45.36,-103,52,12.8,Silvestre,Silvestre
37,JE014,1995,1450,JALISCO,JUCHITLÁN,"2 km de Juchitlán, rumbo a Autlán, a 3 km al N","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,4,59.62,-104,7,16.78,Silvestre,Silvestre
